height,weight,age,male
151.765,47.8256065,63.0,1
139.7,36.4858065,63.0,0
136.525,31.864838,65.0,0
156.845,53.041914500000004,41.0,1
145.415,41.276872,51.0,0
163.83,62.992589,35.0,1
149.225,38.2434755,32.0,0
168.91,55.4799715,27.0,1
147.955,34.869885,19.0,0
165.1,54.487739000000005,54.0,1
154.305,49.89512,47.0,0
151.13,41.220172999999996,66.0,1
144.78,36.0322145,73.0,0
149.9,47.7,20.0,0
150.495,33.849303000000006,65.3,0
163.195,48.5626935,36.0,1
157.48,42.3258035,44.0,1
143.9418,38.3568735,31.0,0
121.92,19.617854,12.0,1
105.41,13.947954000000001,8.0,0
86.36,10.489315,6.5,0
161.29,48.987936,39.0,1
156.21,42.722696500000005,29.0,0
129.54,23.586783999999998,13.0,1
109.22,15.989118,7.0,0
146.4,35.493574,56.0,1
148.59,37.9032815,45.0,0
147.32,35.4652245,19.0,0
137.16,27.328917999999998,17.0,1
125.73,22.6796,16.0,0
114.3,17.860185,11.0,1
147.955,40.312989,29.0,1
161.925,55.111428000000004,30.0,1
146.05,37.5063885,24.0,0
146.05,38.498621,35.0,0
152.7048,46.606578000000006,33.0,0
142.875,38.838815000000004,27.0,0
142.875,35.578622499999994,32.0,0
147.955,47.400364,36.0,0
160.655,47.8823055,24.0,1
151.765,49.4131785,30.0,1
162.8648,49.384828999999996,24.0,1
171.45,56.557252500000004,52.0,1
147.32,39.12231,42.0,0
147.955,49.89512,19.0,0
144.78,28.803092,17.0,0
121.92,20.41164,8.0,1
128.905,23.359988,12.0,0
97.79,13.267566,5.0,0
154.305,41.2485225,55.0,1
143.51,38.55532,43.0,0
146.7,42.4,20.0,1
157.48,44.6504625,18.0,1
127.0,22.010551800000002,13.0,1
110.49,15.422128,9.0,0
97.79,12.757275,5.0,0
165.735,58.598416500000006,42.0,1
152.4,46.719976,44.0,0
141.605,44.22522,60.0,0
158.8,50.9,20.0,0
155.575,54.317642000000006,37.0,0
164.465,45.8978405,50.0,1
151.765,48.024053,50.0,0
161.29,52.219778999999996,31.0,1
154.305,47.627159999999996,25.0,0
145.415,45.642695,23.0,0
145.415,42.410852,52.0,0
152.4,36.4858065,79.3,1
163.83,55.9335635,35.0,1
144.145,37.194544,27.0,0
129.54,24.550667,13.0,1
129.54,25.627948,14.0,0
153.67,48.307548,38.0,1
142.875,37.336291499999994,39.0,0
146.05,29.596878000000004,12.0,0
167.005,47.173567999999996,30.0,1
158.4198,47.286966,24.0,0
91.44,12.927372,0.5999999999999089,1
165.735,57.549485,51.0,1
149.86,37.931631,46.0,0
147.955,41.900560999999996,17.0,0
137.795,27.5840635,12.0,0
154.94,47.2019175,22.0,0
160.9598,43.204638,29.0,1
161.925,50.2636635,38.0,1
147.955,39.377455499999996,30.0,0
113.665,17.463292000000003,6.0,1
159.385,50.68899999999999,45.0,1
148.59,39.4341545,47.0,0
136.525,36.28736,79.0,0
158.115,46.266384,45.0,1
144.78,42.2691045,54.0,0
156.845,47.627159999999996,31.0,1
179.07,55.706767500000005,23.0,1
118.745,18.824068,9.0,0
170.18,48.5626935,41.0,1
146.05,42.807745000000004,23.0,0
147.32,35.0683315,36.0,0
113.03,17.8885345,5.0,1
162.56,56.755699,30.0,0
133.985,27.442315999999998,12.0,1
152.4,51.255896,34.0,0
160.02,47.230267,44.0,1
149.86,40.936678,43.0,0
142.875,32.715323,73.3,0
167.005,57.067543500000006,38.0,1
159.385,42.977841999999995,43.0,1
154.94,39.9444455,33.0,0
148.59,32.4601775,16.0,0
111.125,17.123098000000002,11.0,1
111.76,16.499409,6.0,1
162.56,45.9545395,35.0,1
152.4,41.106775,29.0,0
124.46,18.257078,12.0,0
111.76,15.081934,9.0,1
86.36,11.481547500000001,7.599999999999911,1
170.18,47.5988105,58.0,1
146.05,37.5063885,53.0,0
159.385,45.019006,51.0,1
151.13,42.2691045,48.0,0
160.655,54.85628249999999,29.0,1
169.545,53.523856,41.0,1
158.75,52.1914295,81.75,1
74.295,9.752228,1.0,1
149.86,42.410852,35.0,0
153.035,49.5832755,46.0,0
96.52,13.097469,5.0,1
161.925,41.730464000000005,29.0,1
162.56,56.018612,42.0,1
149.225,42.1557065,27.0,0
116.84,19.391057999999997,8.0,0
100.07600000000001,15.081934,6.0,1
163.195,53.0986135,22.0,1
161.925,50.235314,43.0,1
145.415,42.52425,53.0,0
163.195,49.101334,43.0,1
151.13,38.498621,41.0,0
150.495,49.8100715,50.0,0
141.605,29.313383,15.0,1
170.815,59.760746,33.0,1
91.44,11.7083435,3.0,0
157.48,47.939004499999996,62.0,1
152.4,39.292407,49.0,0
149.225,38.130077500000006,17.0,1
129.54,21.999212,12.0,0
147.32,36.8826995,22.0,0
145.415,42.127357,29.0,0
121.92,19.787951,8.0,0
113.665,16.782904000000002,5.0,1
157.48,44.565414000000004,33.0,1
154.305,47.853956,34.0,0
120.65,21.177076500000002,12.0,0
115.6,18.9,7.0,1
167.005,55.1964765,42.0,1
142.875,32.998818,40.0,0
152.4,40.879979,27.0,0
96.52,13.267566,3.0,0
160.0,51.2,25.0,1
159.385,49.044635,29.0,1
149.86,53.438807499999996,45.0,0
160.655,54.090846,26.0,1
160.655,55.3665735,45.0,1
149.225,42.240755,45.0,0
125.095,22.367755499999998,11.0,0
140.97,40.936678,85.59999999999991,0
154.94,49.696673499999996,26.0,1
141.605,44.338618,24.0,0
160.02,45.9545395,57.0,1
150.1648,41.95726,22.0,0
155.575,51.482692,24.0,0
103.505,12.757275,6.0,0
94.615,13.012420500000001,4.0,0
156.21,44.111822,21.0,0
153.035,32.205032,79.0,0
167.005,56.755699,50.0,1
149.86,52.673370999999996,40.0,0
147.955,36.4858065,64.0,0
159.385,48.846188500000004,32.0,1
161.925,56.954145499999996,38.7,1
155.575,42.0990075,26.0,0
159.385,50.178615,63.0,1
146.685,46.549879,62.0,0
172.72,61.80191,22.0,1
166.37,48.987936,41.0,1
141.605,31.524644,19.0,1
142.875,32.205032,17.0,0
133.35,23.756881,14.0,0
127.635,24.4089195,9.0,1
119.38,21.5172705,7.0,1
151.765,35.2951275,74.0,0
156.845,45.642695,41.0,1
148.59,43.885026,33.0,0
157.48,45.557646500000004,53.0,0
149.86,39.008912,18.0,0
147.955,41.163474,37.0,0
102.235,13.1258185,6.0,0
153.035,45.245802000000005,61.0,0
160.655,53.637254000000006,44.0,1
149.225,52.3048275,35.0,0
114.3,18.342126500000003,7.0,1
100.965,13.749507500000002,4.0,1
138.43,39.0939605,23.0,0
91.44,12.530479,4.0,1
162.56,45.699394,55.0,1
149.225,40.3980375,53.0,0
158.75,51.482692,59.0,1
149.86,38.668718,57.0,0
158.115,39.235708,35.0,1
156.21,44.338618,29.0,0
148.59,39.519203000000005,62.0,1
143.51,31.071052,18.0,0
154.305,46.776675,51.0,0
131.445,22.509503,14.0,0
157.48,40.6248335,19.0,1
157.48,50.178615,42.0,1
154.305,41.276872,25.0,0
107.95,17.57669,6.0,1
168.275,54.6,41.0,1
145.415,44.9906565,37.0,0
147.955,44.735510999999995,16.0,0
100.965,14.401546,5.0,1
113.03,19.050864,9.0,1
149.225,35.8054185,82.0,1
154.94,45.2174525,28.0,1
162.56,48.1091015,50.0,1
156.845,45.6710445,43.0,0
123.19,20.808532999999997,8.0,1
161.0106,48.420946,31.0,1
144.78,41.1918235,67.0,0
143.51,38.4135725,39.0,0
149.225,42.127357,18.0,0
110.49,17.661738500000002,11.0,0
149.86,38.2434755,48.0,0
165.735,48.335897499999994,30.0,1
144.145,38.9238635,64.0,0
157.48,40.029494,72.0,1
154.305,50.206964500000005,68.0,0
163.83,54.2892925,44.0,1
156.21,45.6,43.0,0
153.67,40.766581,16.0,0
134.62,27.130471500000002,13.0,0
144.145,39.4341545,34.0,0
114.3,20.4966885,10.0,0
162.56,43.204638,62.0,1
146.05,31.864838,44.0,0
120.65,20.8935815,11.0,1
154.94,45.4442485,31.0,1
144.78,38.045029,29.0,0
106.68,15.989118,8.0,0
146.685,36.088913500000004,62.0,0
152.4,40.879979,67.0,0
163.83,47.910655,57.0,1
165.735,47.7122085,32.0,1
156.21,46.379782,24.0,0
152.4,41.163474,77.0,1
140.335,36.5992045,62.0,0
158.115,43.09124,17.0,1
163.195,48.137451,67.0,1
151.13,36.7126025,70.0,0
171.1198,56.557252500000004,37.0,1
149.86,38.697067499999996,58.0,0
163.83,47.4854125,35.0,1
141.605,36.2023115,30.0,0
93.98,14.288148000000001,5.0,0
149.225,41.276872,26.0,0
105.41,15.2236815,5.0,0
146.05,44.7638605,21.0,0
161.29,50.4337605,41.0,1
162.56,55.281525,46.0,1
145.415,37.931631,49.0,0
145.415,35.493574,15.0,1
170.815,58.45666899999999,28.0,1
127.0,21.488920999999998,12.0,0
159.385,44.423666499999996,83.0,0
159.4,44.4,54.0,1
153.67,44.565414000000004,54.0,0
160.02,44.622113,68.0,1
150.495,40.483086,68.0,0
149.225,44.0834725,56.0,0
127.0,24.4089195,15.0,0
142.875,34.416292999999996,57.0,0
142.113,32.772022,22.0,0
147.32,35.947165999999996,40.0,0
162.56,49.5549,19.0,1
164.465,53.183662,41.0,1
160.02,37.081146000000004,75.90000000000009,1
153.67,40.5114355,73.90000000000009,0
167.005,50.603857500000004,49.0,1
151.13,43.9700745,26.0,1
147.955,33.792604,17.0,0
125.3998,21.375523,13.0,0
111.125,16.669506,8.0,0
153.035,49.89,88.0,1
139.065,33.5941575,68.0,0
152.4,43.8566765,33.0,1
154.94,48.137451,26.0,0
147.955,42.751046,56.0,0
143.51,34.8415355,16.0,1
117.98299999999999,24.097075,13.0,0
144.145,33.906002,34.0,0
92.71,12.076887,5.0,0
147.955,41.276872,17.0,0
155.575,39.7176495,74.0,1
150.495,35.947165999999996,69.0,0
155.575,50.915702,50.0,1
154.305,45.756093,44.0,0
130.6068,25.259404500000002,15.0,0
101.6,15.337079500000002,5.0,0
157.48,49.214732,18.0,0
168.91,58.8252125,41.0,1
150.495,43.4597835,27.0,0
111.76,17.8318355,8.90000000000009,1
160.02,51.964633500000005,38.0,1
167.64,50.688906,57.0,1
144.145,34.246196000000005,64.5,0
145.415,39.377455499999996,42.0,0
160.02,59.5622995,24.0,1
147.32,40.312989,16.0,1
164.465,52.16308,71.0,1
153.035,39.972795,49.5,0
149.225,43.941725,33.0,1
160.02,54.601137,28.0,0
149.225,45.075705,47.0,0
85.09,11.453198,3.0,1
84.455,11.7650425,1.0,1
59.6138,5.8966959999999995,1.0,0
92.71,12.1052365,3.0,1
111.125,18.313776999999998,6.0,0
90.805,11.3681495,5.0,0
153.67,41.333571,27.0,0
99.695,16.244263500000002,5.0,0
62.483999999999995,6.80388,1.0,0
81.915,11.8784405,2.0,1
96.52,14.968535999999999,2.0,0
80.01,9.865625999999999,1.0,1
150.495,41.900560999999996,55.0,0
151.765,42.523999999999994,83.40000000000009,1
140.6398,28.859790999999998,12.0,1
88.265,12.785624499999999,2.0,0
158.115,43.147939,63.0,1
149.225,40.82328,52.0,0
151.765,42.864444,49.0,1
154.94,46.209685,31.0,0
123.825,20.581737,9.0,0
104.14,15.875720000000001,6.0,0
161.29,47.853956,35.0,1
148.59,42.52425,35.0,0
97.155,17.066399,7.0,0
93.345,13.1825175,5.0,1
160.655,48.5059945,24.0,1
157.48,45.869491,41.0,1
167.005,52.900167,32.0,1
157.48,47.570461,43.0,1
91.44,12.927372,6.0,0
60.452,5.6699,1.0,1
137.16,28.916490000000003,15.0,1
152.4,43.544832,63.0,0
152.4,43.431434,21.0,0
81.28,11.509897,1.0,1
109.22,11.7083435,2.0,0
71.12,7.540967,1.0,1
89.2048,12.700576,3.0,0
67.31,7.200773,1.0,0
85.09,12.360382000000001,1.0,1
69.85,7.7961125,1.0,0
161.925,53.212011499999996,55.0,0
152.4,44.678812,38.0,0
88.9,12.5588285,3.0,1
90.17,12.700576,3.0,1
71.755,7.37087,1.0,0
83.82,9.2135875,1.0,0
159.385,47.2019175,28.0,1
142.24,28.632995,16.0,0
142.24,31.6663915,36.0,0
168.91,56.44385450000001,38.0,1
123.19,20.014747,12.0,1
74.93,8.50485,1.0,1
74.295,8.3064035,1.0,0
90.805,11.623294999999999,3.0,0
160.02,55.791816000000004,48.0,1
67.945,7.9662095,1.0,0
135.89,27.21552,15.0,0
158.115,47.4854125,45.0,1
85.09,10.8011595,3.0,1
93.345,14.004653,3.0,0
152.4,45.1607535,38.0,0
155.575,45.529297,21.0,0
154.305,48.874538,50.0,0
156.845,46.578228499999994,41.0,1
120.015,20.128145,13.0,0
114.3,18.14368,8.0,1
83.82,10.914557499999999,3.0,1
156.21,43.885026,30.0,0
137.16,27.158821000000003,12.0,1
114.3,19.050864,7.0,1
93.98,13.834556,4.0,0
168.275,56.0469615,21.0,1
147.955,40.086193,38.0,0
139.7,26.5634815,15.0,1
157.48,50.802304,19.0,0
76.2,9.2135875,1.0,1
66.04,7.569316499999999,1.0,1
160.7,46.3,31.0,1
114.3,19.419407500000002,8.0,0
146.05,37.9032815,16.0,1
161.29,49.3564795,21.0,1
69.85,7.314171000000001,0.0,0
133.985,28.151053499999996,13.0,1
67.945,7.824462,0.0,1
150.495,44.111822,50.0,0
163.195,51.0291,39.0,1
148.59,40.766581,44.0,1
148.59,37.5630875,36.0,0
161.925,51.596090000000004,36.0,1
153.67,44.820559499999995,18.0,0
68.58,8.0229085,0.0,0
151.13,43.4030845,58.0,0
163.83,46.719976,58.0,1
153.035,39.5475525,33.0,0
151.765,34.7848365,21.5,0
132.08,22.792998,11.0,1
156.21,39.292407,26.0,1
140.335,37.449689500000005,22.0,0
158.75,48.6760915,28.0,1
142.875,35.606972,42.0,0
84.455,9.3836845,2.0,1
151.9428,43.714929,21.0,1
161.29,48.19415,19.0,1
127.9906,29.852023499999998,13.0,1
160.9852,50.972401,48.0,1
144.78,43.998424,46.0,0
132.08,28.292801,11.0,1
117.98299999999999,20.354941,8.0,1
160.02,48.19415,25.0,1
154.94,39.179009,16.0,1
160.9852,46.6916265,51.0,1
165.989,56.415505,25.0,1
157.988,48.591043,28.0,1
154.94,48.2224995,26.0,0
97.9932,13.2959155,5.0,1
64.135,6.662132499999999,1.0,0
160.655,47.4854125,54.0,1
147.32,35.550273,66.0,0
146.7,36.6,20.0,0
147.32,48.9595865,25.0,0
172.9994,51.255896,38.0,1
158.115,46.5215295,51.0,1
147.32,36.967748,48.0,0
124.9934,25.117657,13.0,1
106.045,16.272613,6.0,1
165.989,48.647742,27.0,1
149.86,38.045029,22.0,0
76.2,8.50485,1.0,0
161.925,47.286966,60.0,1
140.0048,28.3495,15.0,0
66.675,8.1363065,0.0,0
62.865,7.200773,0.0,1
163.83,55.394923,43.0,1
147.955,32.488527000000005,12.0,1
160.02,54.204243999999996,27.0,1
154.94,48.477645,30.0,1
152.4,43.0628905,29.0,0
62.23,7.257472,0.0,0
146.05,34.189496999999996,23.0,0
151.9936,49.951819,30.0,0
157.48,41.3052215,17.0,1
55.88,4.847764499999999,0.0,0
60.96,6.23689,0.0,1
151.765,44.338618,41.0,0
144.78,33.45241,42.0,0
118.11,16.896302,7.0,0
78.105,8.221355,3.0,0
160.655,47.286966,43.0,1
151.13,46.1246365,35.0,0
121.92,20.184844000000002,10.0,0
92.71,12.757275,3.0,1
153.67,47.400364,75.5,1
147.32,40.8516295,64.0,0
139.7,50.348712,38.0,1
157.48,45.132404,24.2,0
91.44,11.623294999999999,4.0,0
154.94,42.240755,26.0,1
143.51,41.645415500000006,19.0,0
83.185,9.156888499999999,2.0,1
158.115,45.2174525,43.0,1
147.32,51.255896,38.0,0
123.825,21.205426,10.0,1
88.9,11.5949455,3.0,1
160.02,49.271431,23.0,1
137.16,27.952607,16.0,0
165.1,51.199197,49.0,1
154.94,43.8566765,41.0,0
111.125,17.690088,6.0,1
153.67,35.5219235,23.0,0
145.415,34.246196000000005,14.0,0
141.605,42.88542,43.0,0
144.78,32.545226,15.0,0
163.83,46.776675,21.0,1
161.29,41.8722115,24.0,1
154.9,38.2,20.0,1
161.3,43.3,20.0,1
170.18,53.637254000000006,34.0,1
149.86,42.977841999999995,29.0,0
123.825,21.54562,11.0,1
85.09,11.4248485,3.0,0
160.655,39.7743485,65.0,1
154.94,43.3463855,46.0,0
106.045,15.478826999999999,8.0,0
126.365,21.9141635,15.0,1
166.37,52.673370999999996,43.0,1
148.2852,38.441922,39.0,0
124.46,19.27766,12.0,0
89.535,11.113004,3.0,1
101.6,13.494361999999999,4.0,0
151.765,42.807745000000004,43.0,0
148.59,35.890467,70.0,0
153.67,44.22522,26.0,0
53.975,4.252425,0.0,0
146.685,38.0733785,48.0,0
56.515,5.159609,0.0,0
100.965,14.3164975,5.0,1
121.92,23.2182405,8.0,1
81.5848,10.659412,3.0,0
154.94,44.111822,44.0,1
156.21,44.0267735,33.0,0
132.715,24.9759095,15.0,1
125.095,22.5945515,12.0,0
101.6,14.344847,5.0,0
160.655,47.8823055,41.0,1
146.05,39.405805,37.4,0
132.715,24.777463,13.0,0
87.63,10.659412,6.0,0
156.21,41.050076000000004,53.0,1
152.4,40.82328,49.0,0
162.56,47.0318205,27.0,0
114.935,17.519991,7.0,1
67.945,7.229122500000001,1.0,0
142.875,34.246196000000005,31.0,0
76.835,8.0229085,1.0,1
145.415,31.127751,17.0,1
162.56,52.16308,31.0,1
156.21,54.062496499999995,21.0,0
71.12,8.051258,0.0,1
158.75,52.5316235,68.0,1
